Modify the time out from 300 to 30000
begin download dataset
Dataset download succeed!
Trainable parameters: 18142736
dataset has 54344 batches
Load the trained epoch :1 and step: 54344
[WARNING] ME(177:281473027448848,MainProcess):2023-12-19-10:25:31.281.618 [mindspore/communication/_comm_helper.py:339] 'BroadcastWorldGroup' group has existed.
time: Tue Dec 19 13:12:16 2023 local_rank: 0, epoch: 1, step: 55359, loss is 0.1301
time: Tue Dec 19 13:12:59 2023 local_rank: 0, epoch: 1, step: 55364, loss is 0.129
time: Tue Dec 19 13:13:41 2023 local_rank: 0, epoch: 1, step: 55369, loss is 0.1207
time: Tue Dec 19 13:14:24 2023 local_rank: 0, epoch: 1, step: 55374, loss is 0.1175
time: Tue Dec 19 13:15:07 2023 local_rank: 0, epoch: 1, step: 55379, loss is 0.1241
time: Tue Dec 19 13:15:50 2023 local_rank: 0, epoch: 1, step: 55384, loss is 0.1268
time: Tue Dec 19 13:16:33 2023 local_rank: 0, epoch: 1, step: 55389, loss is 0.1194
time: Tue Dec 19 13:17:16 2023 local_rank: 0, epoch: 1, step: 55394, loss is 0.1254
time: Tue Dec 19 13:17:59 2023 local_rank: 0, epoch: 1, step: 55399, loss is 0.1133
time: Tue Dec 19 13:18:41 2023 local_rank: 0, epoch: 1, step: 55404, loss is 0.1175
time: Tue Dec 19 13:19:24 2023 local_rank: 0, epoch: 1, step: 55409, loss is 0.12164
time: Tue Dec 19 13:20:07 2023 local_rank: 0, epoch: 1, step: 55414, loss is 0.1145
time: Tue Dec 19 13:20:50 2023 local_rank: 0, epoch: 1, step: 55419, loss is 0.1236
time: Tue Dec 19 13:21:34 2023 local_rank: 0, epoch: 1, step: 55424, loss is 0.11554
time: Tue Dec 19 13:22:17 2023 local_rank: 0, epoch: 1, step: 55429, loss is 0.11633
time: Tue Dec 19 13:22:59 2023 local_rank: 0, epoch: 1, step: 55434, loss is 0.11444
time: Tue Dec 19 13:23:42 2023 local_rank: 0, epoch: 1, step: 55439, loss is 0.11743
time: Tue Dec 19 13:24:25 2023 local_rank: 0, epoch: 1, step: 55444, loss is 0.11523
time: Tue Dec 19 13:25:08 2023 local_rank: 0, epoch: 1, step: 55449, loss is 0.11554
time: Tue Dec 19 13:25:51 2023 local_rank: 0, epoch: 1, step: 55454, loss is 0.1054
time: Tue Dec 19 13:26:34 2023 local_rank: 0, epoch: 1, step: 55459, loss is 0.12256
time: Tue Dec 19 13:27:16 2023 local_rank: 0, epoch: 1, step: 55464, loss is 0.09174
time: Tue Dec 19 13:27:59 2023 local_rank: 0, epoch: 1, step: 55469, loss is 0.10944
time: Tue Dec 19 13:28:42 2023 local_rank: 0, epoch: 1, step: 55474, loss is 0.1072
time: Tue Dec 19 13:29:25 2023 local_rank: 0, epoch: 1, step: 55479, loss is 0.1149
time: Tue Dec 19 13:30:08 2023 local_rank: 0, epoch: 1, step: 55484, loss is 0.1122
time: Tue Dec 19 13:30:52 2023 local_rank: 0, epoch: 1, step: 55489, loss is 0.11584
time: Tue Dec 19 13:31:35 2023 local_rank: 0, epoch: 1, step: 55494, loss is 0.1136
time: Tue Dec 19 13:32:18 2023 local_rank: 0, epoch: 1, step: 55499, loss is 0.11945
time: Tue Dec 19 13:33:01 2023 local_rank: 0, epoch: 1, step: 55504, loss is 0.1144
time: Tue Dec 19 13:33:44 2023 local_rank: 0, epoch: 1, step: 55509, loss is 0.1153
time: Tue Dec 19 13:34:26 2023 local_rank: 0, epoch: 1, step: 55514, loss is 0.1163
time: Tue Dec 19 13:35:09 2023 local_rank: 0, epoch: 1, step: 55519, loss is 0.1217
[13:35:44] WARNING: not removing hydrogen atom without neighbors
time: Tue Dec 19 13:35:52 2023 local_rank: 0, epoch: 1, step: 55524, loss is 0.115
time: Tue Dec 19 13:36:35 2023 local_rank: 0, epoch: 1, step: 55529, loss is 0.12256
time: Tue Dec 19 13:37:18 2023 local_rank: 0, epoch: 1, step: 55534, loss is 0.12335
time: Tue Dec 19 13:38:00 2023 local_rank: 0, epoch: 1, step: 55539, loss is 0.1313
time: Tue Dec 19 13:38:43 2023 local_rank: 0, epoch: 1, step: 55544, loss is 0.11774
time: Tue Dec 19 13:39:26 2023 local_rank: 0, epoch: 1, step: 55549, loss is 0.1256
time: Tue Dec 19 13:40:09 2023 local_rank: 0, epoch: 1, step: 55554, loss is 0.1284
time: Tue Dec 19 13:40:52 2023 local_rank: 0, epoch: 1, step: 55559, loss is 0.1227
time: Tue Dec 19 13:41:35 2023 local_rank: 0, epoch: 1, step: 55564, loss is 0.1132
time: Tue Dec 19 13:42:19 2023 local_rank: 0, epoch: 1, step: 55569, loss is 0.1293
time: Tue Dec 19 13:43:01 2023 local_rank: 0, epoch: 1, step: 55574, loss is 0.10803
time: Tue Dec 19 13:43:44 2023 local_rank: 0, epoch: 1, step: 55579, loss is 0.135
time: Tue Dec 19 13:44:27 2023 local_rank: 0, epoch: 1, step: 55584, loss is 0.1007
time: Tue Dec 19 13:45:10 2023 local_rank: 0, epoch: 1, step: 55589, loss is 0.0998
time: Tue Dec 19 13:45:54 2023 local_rank: 0, epoch: 1, step: 55594, loss is 0.115
time: Tue Dec 19 13:46:36 2023 local_rank: 0, epoch: 1, step: 55599, loss is 0.1132
time: Tue Dec 19 13:47:19 2023 local_rank: 0, epoch: 1, step: 55604, loss is 0.1096
time: Tue Dec 19 13:48:02 2023 local_rank: 0, epoch: 1, step: 55609, loss is 0.1287
time: Tue Dec 19 13:48:45 2023 local_rank: 0, epoch: 1, step: 55614, loss is 0.1355
time: Tue Dec 19 13:49:28 2023 local_rank: 0, epoch: 1, step: 55619, loss is 0.135
time: Tue Dec 19 13:50:11 2023 local_rank: 0, epoch: 1, step: 55624, loss is 0.1371
time: Tue Dec 19 13:50:54 2023 local_rank: 0, epoch: 1, step: 55629, loss is 0.1388
time: Tue Dec 19 13:51:37 2023 local_rank: 0, epoch: 1, step: 55634, loss is 0.1364
time: Tue Dec 19 13:52:20 2023 local_rank: 0, epoch: 1, step: 55639, loss is 0.1299
time: Tue Dec 19 13:53:03 2023 local_rank: 0, epoch: 1, step: 55644, loss is 0.1266
time: Tue Dec 19 13:53:46 2023 local_rank: 0, epoch: 1, step: 55649, loss is 0.1096
